<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20230308;000000;22.81;22.885;22.585;22.62;12947700
20230310;000000;22.625;22.695;22.43;22.5;9062900
20230311;000000;22.345;22.4;22.22;22.3;11496700
20230314;000000;22.31;22.47;22.04;22.22;19171400
20230315;000000;22.135;22.43;22.105;22.28;9845200
20230316;000000;22.365;22.425;21.91;22.075;16702800
20230317;000000;22.105;22.475;22;22.215;24943400
20230318;000000;22.33;22.6;22.225;22.5;23076000
20230321;000000;22.58;23.425;22.5;23.275;52420600
20230322;000000;23.345;23.7;22.705;23.005;42445500
20230323;000000;23.075;23.18;22.85;22.965;11698100
20230324;000000;23;23.235;22.9;23.08;16579900
20230325;000000;23.1;23.175;23;23.06;8786400
20230328;000000;23.205;24.095;23.1;23.76;66722200
20230329;000000;23.905;23.96;23.4;23.645;21968600
20230330;000000;23.71;23.865;23.46;23.775;21846100
20230331;000000;23.8;23.945;23.465;23.88;28468400
20230401;000000;23.915;23.97;23.26;23.52;24729700
20230404;000000;23.865;24.285;23.67;24.055;41296600
20230405;000000;24.155;25.575;24.065;24.84;109459700
20230406;000000;24.895;25.275;24.115;25.055;50212500
20230407;000000;25.135;25.515;24.645;24.99;42369900
20230408;000000;25.035;25.425;24.715;24.965;26798500
20230411;000000;25.065;25.36;24.87;25.185;22459700
20230412;000000;25.31;25.795;24.6;24.68;56003700
20230413;000000;24.77;24.97;24.42;24.8;24524200
20230414;000000;24.805;24.95;24.32;24.73;19916200
20230415;000000;24.685;24.79;24.49;24.635;10393000
20230418;000000;24.73;25.19;24.505;25.13;29602600
20230419;000000;25.14;25.43;24.895;25.125;25340800
20230420;000000;25.1;25.185;24.73;24.935;20562600
20230421;000000;24.9;25.345;24.515;25.27;58944500
20230422;000000;25.29;26.345;25.185;26.325;91512900
20230425;000000;26.33;26.695;25.62;26.015;64902200
20230426;000000;26.015;26.255;25.425;25.53;36223500
20230427;000000;25.47;25.595;24.83;25.165;27315500
20230428;000000;25.2;25.6;25.05;25.51;21004300
20230429;000000;25.555;25.6;24.91;25.085;14386700
20230503;000000;25.115;25.265;24.345;24.57;19422000
20230504;000000;24.5;24.555;23.41;23.51;42318700
20230505;000000;23.52;23.82;23.28;23.555;22581300
20230506;000000;23.595;23.725;23.25;23.3;12348600
20230509;000000;23.3;23.435;23.14;23.2;6844300
20230511;000000;23.265;23.83;23.205;23.8;18825800
20230512;000000;23.85;24.345;23.4;23.795;33724200
20230513;000000;23.9;24.035;23.6;23.935;14523500
20230516;000000;24.05;25.33;24.005;25.265;61411500
20230517;000000;25.36;25.485;24.765;25.095;23421100
20230518;000000;25.11;25.185;24.655;25.03;24552200
20230519;000000;25.12;25.695;23.63;24.305;113532500
20230520;000000;24.2;24.67;24.02;24.33;29427600
20230523;000000;24.495;24.525;23.92;24.05;16906200
20230524;000000;24.095;24.485;23.85;24.35;17511600
20230525;000000;24.42;24.455;24.14;24.24;12433200
20230526;000000;24.275;24.375;24.005;24.155;12448500
20230527;000000;24.16;24.5;24.06;24.34;12815400
20230530;000000;24.48;24.82;24.31;24.785;18397600
20230531;000000;24.59;24.795;24.1;24.195;17346900
20230601;000000;24.14;24.505;24.055;24.425;10987600
20230602;000000;24.475;24.855;24.295;24.7;19123200
20230603;000000;24.7;25.285;24.665;25.2;20187400
20230606;000000;25.235;25.445;24.735;24.915;21333300
20230607;000000;24.885;25.24;24.75;25.15;17476800
20230608;000000;25.175;25.29;25;25.14;9503100
20230609;000000;25.125;25.475;25.05;25.455;19480100
20230610;000000;25.875;26.1;25.455;25.495;39227600
20230614;000000;25.55;26.065;25.55;25.995;20693600
20230615;000000;26.075;26.36;25.755;25.905;29732000
20230616;000000;25.87;26.9;25.82;26.76;62666400
20230617;000000;26.81;26.87;26.465;26.655;18403400
20230620;000000;26.665;27.4;26.47;27.25;39442000
