<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230729,000000,78.53,78.55,77.8,78.25,2677500
20230801,000000,78.72,88.38,78.7,88.1,23175300
20230802,000000,88.25,100.5,86.02,99.94,39378100
20230803,000000,100.1,129.39,99.18,121.4,108655200
20230804,000000,122.2,125,111.3,115.94,32315600
20230805,000000,116.49,117.74,108.03,112.4,13736500
20230808,000000,112.42,119.22,112,115.82,20955100
20230809,000000,115.97,115.98,108.2,112.87,10138200
20230810,000000,113.3,113.45,110.61,111.77,4324700
20230811,000000,111.88,113.29,110.2,111.48,4200800
20230812,000000,111.32,118.2,111.2,116.97,14440500
20230815,000000,117.67,118.67,109.88,111.18,11036000
20230816,000000,110.8,114.5,108.36,111.06,5096300
20230817,000000,111.06,111.77,101.02,107.81,15699400
20230818,000000,112.22,115.6,109.38,113.05,15954100
20230819,000000,113.22,114.43,111.1,113.4,5610800
20230822,000000,113.43,117.4,113.43,116.5,10446700
20230823,000000,116.61,118.79,114.39,115.79,9413000
20230824,000000,116,116.31,111,111.87,7450300
20230825,000000,112.31,114.51,111.81,114.22,2847300
20230826,000000,114.33,114.34,112.03,112.74,6499600
20230829,000000,112.89,113.48,111.29,112.4,7815500
20230830,000000,112.4,112.76,110.5,112.38,8610600
20230831,000000,112.77,112.97,110,110.94,4740100
20230901,000000,111.18,111.19,108.33,109.44,6005800
20230902,000000,109.8,112.1,108.12,111.09,11921100
20230905,000000,112.41,112.97,110.2,111.72,12674400
20230906,000000,111.81,111.94,109.57,110.26,7348600
20230907,000000,110.51,111.79,108.68,111.2,9432700
20230908,000000,112.34,112.37,106,108.39,12682500
20230909,000000,108.59,109.76,105.34,109.69,6284700
20230912,000000,112,114,109.24,109.98,14062500
20230913,000000,112.3,113.5,108.31,112.98,13024800
20230914,000000,113.35,113.5,109.7,110.17,5485100
20230915,000000,110.1,110.1,86.53,103.1,28003200
20230916,000000,101.9,106,97.46,105.37,8593800
20230919,000000,106,106.25,99.91,102.14,9199000
20230920,000000,101.45,101.65,94.9,95.6,13415200
20230921,000000,95.41,99,88.8,94.13,20376200
20230922,000000,93.54,95.44,90.51,90.87,7323000
20230923,000000,91.1,97.44,89.44,96.1,7803800
20230926,000000,96.5,99,93.81,97.78,9200300
20230927,000000,98.01,98.37,95.38,96.37,4225000
